date,usd_per_eur,usd_per_gbp,usd_per_jpy
2020-10-01,1.1752,1.2901,0.00947597839476926
2020-10-02,1.1706,1.2928,0.009491268033409264
2020-10-05,1.1784,1.2972,0.00946073793755913
2020-10-06,1.1778,1.2945,0.00946611132146914
2020-10-07,1.1766,1.2914,0.009436633009342266
2020-10-08,1.1753,1.2944,0.009435742592942064
2020-10-09,1.1819,1.3003,0.009458948164964056
2020-10-12,,,
2020-10-13,1.1737,1.2968,0.009474182851729039
2020-10-14,1.1755,1.3023,0.00951655881233346
2020-10-15,1.1701,1.2917,0.009489466691971912
2020-10-16,1.1717,1.2931,0.00948676596148373
2020-10-19,1.1788,1.2998,0.00948586605957124
2020-10-20,1.1824,1.2951,0.009473285335354301
2020-10-21,1.187,1.3143,0.009562057754828839
2020-10-22,1.1824,1.309,0.009534706331045004
2020-10-23,1.1844,1.3039,0.00954380606986066
2020-10-26,1.1816,1.3021,0.009536524890329964
2020-10-27,1.1834,1.3067,0.009574875526618154
2020-10-28,1.1751,1.2997,0.009584970765839165
2020-10-29,1.1658,1.289,0.009552010698251982
2020-10-30,1.1647,1.2933,0.009565716472163765
2020-11-02,1.1634,1.2904,0.009541984732824428
2020-11-03,1.1724,1.305,0.009569377990430622
2020-11-04,1.173,1.3021,0.009579461634256155
2020-11-05,1.1809,1.3116,0.009645992090286486
2020-11-06,1.1886,1.3162,0.009678668215253582
2020-11-09,1.1811,1.3137,0.009471490812653912
2020-11-10,1.181,1.3234,0.009491268033409264
2020-11-11,,,
2020-11-12,1.1814,1.3142,0.009509319132750096
2020-11-13,1.1824,1.3176,0.009559315553006405
2020-11-16,1.1844,1.3197,0.009565716472163765
2020-11-17,1.1862,1.3247,0.009596928982725527
2020-11-18,1.1869,1.3299,0.009641342074816815
2020-11-19,1.1843,1.3225,0.009629272989889264
2020-11-20,1.1857,1.3294,0.00963298333493883
2020-11-23,1.1826,1.33,0.00957670944263551
2020-11-24,1.1874,1.335,0.009559315553006405
2020-11-25,1.1908,1.3378,0.009579461634256155
2020-11-26,,,
2020-11-27,,,
