series,X,financing,f,f_kelly_analytic,cagr_median,cagr_p5,cagr_p25,mean_log_growth,mdd_median,p_dd_50,p_dd_90,p_loss,tw_median
mkt,0,letf,0.5,2.1718019031758886,0.06101859523272879,0.028838029300937172,0.04829125832862374,0.05904910849357045,-0.2315971510048606,0.0018,0.0,0.0012,4.396174122228647
mkt,0,letf,0.6,2.1718019031758886,0.06797373467004597,0.02900286979992014,0.052549604536089645,0.06548024521766366,-0.27862597290252333,0.0148,0.0,0.002,5.17623875350014
mkt,0,letf,0.7,2.1718019031758886,0.07464363582203326,0.02868772537282106,0.05647781720874456,0.07160482316383329,-0.32369573535712654,0.0472,0.0,0.0042,6.048000193107841
mkt,0,letf,0.8,2.1718019031758886,0.08098173478495818,0.028486725348975853,0.060141757944675744,0.07742312532662332,-0.3678542453618255,0.1114,0.0,0.0062,7.005818711744021
mkt,0,letf,0.9,2.1718019031758886,0.08700236760226854,0.027807550505743916,0.06339319097937607,0.08293464693047074,-0.4096317138596328,0.2118,0.0,0.0084,8.049376672194073
mkt,0,letf,1.0,2.1718019031758886,0.09279375892618458,0.026746215192118075,0.06633476545186817,0.08813823540859103,-0.4493496869153834,0.3268,0.0,0.0108,9.192955406429252
mkt,0,letf,1.1,2.1718019031758886,0.09657840865132039,0.02377673899922275,0.06753975141812907,0.09160629195456706,-0.488927454318797,0.4606,0.0002,0.0134,10.022873832560077
mkt,0,letf,1.2,2.1718019031758886,0.10024698824851874,0.020628541451285076,0.06835360930110146,0.09477415379301199,-0.5264848111173491,0.5834,0.0016,0.0182,10.895690964788859
mkt,0,letf,1.3,2.1718019031758886,0.10347766703200623,0.016953924694037604,0.06873348936700374,0.09763533010122519,-0.5615922070568156,0.6998,0.0032,0.024,11.724349022906202
mkt,0,letf,1.4,2.1718019031758886,0.10639187948411488,0.012968370321516333,0.06878690538887872,0.10018509875993577,-0.5959354351960543,0.796,0.0064,0.0304,12.523465242381747
mkt,0,letf,1.5,2.1718019031758886,0.10887799003322363,0.00878053325935392,0.06853959108767171,0.10242157756336223,-0.6288376729019478,0.8622,0.0114,0.036,13.246284631433305
mkt,0,letf,1.6,2.1718019031758886,0.11111865734067272,0.003997966079308735,0.0680245976905654,0.10434991216249655,-0.6587733261825979,0.9122,0.0212,0.0426,13.931922896006018
mkt,0,letf,1.7,2.1718019031758886,0.11301238241182021,-0.0010303730164506737,0.06707422829951071,0.10596586270188167,-0.6870658485873875,0.9474,0.038,0.0512,14.537842272344673
mkt,0,letf,1.8,2.1718019031758886,0.11455551455102064,-0.00606213904147468,0.0657688787689456,0.10726968431606303,-0.7137804051404424,0.9682,0.057,0.0576,15.050213623116395
mkt,0,letf,1.9,2.1718019031758886,0.1158039943574748,-0.011734647773835961,0.06424459925535209,0.10825900672677977,-0.7387636874554776,0.9834,0.0792,0.0638,15.477392651986666
mkt,0,letf,2.0,2.1718019031758886,0.11650820503910952,-0.01760296038551247,0.06205277073851101,0.10893076544926435,-0.7615788009179552,0.9908,0.1086,0.0758,15.723454726874689
mkt,0,letf,2.1,2.1718019031758886,0.11705048782690308,-0.02365169655242334,0.059454001711559123,0.10929143080218555,-0.7833221772387309,0.9964,0.1472,0.085,15.915492113708982
mkt,0,letf,2.2,2.1718019031758886,0.11706258299979122,-0.030490397697383244,0.05666841738960271,0.10933122879110414,-0.8040439944883646,0.9972,0.1888,0.0938,15.919800723736694
mkt,0,letf,2.3,2.1718019031758886,0.11669292616796989,-0.03739582104748388,0.05360236840160115,0.10905752388613768,-0.8231307173975178,0.9988,0.2348,0.1036,15.788618563489939
mkt,0,letf,2.4,2.1718019031758886,0.1160202794387819,-0.04399695180286352,0.050222539322461845,0.1084616800260948,-0.8402425690968229,0.999,0.2812,0.1146,15.552570029550015
